제목,발행년도,작가,출판사,별점
Private Empire: ExxonMobil and American Power,2012,Steve Coll,"Penguin Books; 1st edition (May 1, 2012)",4.4
Grammar Girl's 101 Troublesome Words You'll Master in No Time (Quick & Dirty Tips),2012,Mignon Fogarty,"St. Martin's Griffin; 1st edition (July 3, 2012)",4.3
"The Paris Seamstress: Transporting, Twisting, the Most Heartbreaking Novel You'll Read This Year",2018,Natasha Lester,"Sphere (March 27, 2018)",4.4
The Word Is Murder: A Novel (A Hawthorne and Horowitz Mystery Book 1),2018,Anthony Horowitz,"Harper; Reprint edition (June 5, 2018)",4.3
Undead Nation: Rescue,2011,Brent Acuff,"Brent Acuff (June 21, 2011)",3.7
"Shepherds of Coyote Rocks: Public Lands, Private Herds and the Natural World",2012,Cat Urbigkit,"Countryman Press; 1st edition (September 17, 2012)",4.4
The Last Vhalgenn (Colonies of Man Book 1),2014,Kayelle Allen,"Romance Lives Forever Books (April 1, 2014)",4.5
The Lady in White,2014,Christian Bobin,"University of Nebraska Press (December 1, 2014)",4.8
The Mayhem Children (A Project Specter Mystery Book 1),2018,Paul Seiple,"Dangerhouse Media (September 5, 2018)",4.3
The House of Wolfe: A Border Noir (The Wolfe Family),2015,James Carlos Blake,"Mysterious Press; First Trade Paper edition (March 3, 2015)",4.1
Hell or Richmond: A Novel (The Battle Hymn Cycle Book 2),2013,Ralph Peters,"Forge Books; Reprint edition (May 7, 2013)",4.6
Born To Spy,2010,Jayde Scott,"Aurora Press; 1st edition (December 25, 2010)",3.9
Madness Treads Lightly,2017,Polina Dashkova,"Amazon Crossing (September 12, 2017)",4.2
Regret (Skulls Renegade MC Book 8),2019,Elizabeth Knox,"Knox Publishing (January 27, 2019)",4.5
You Will Die: DI Giles Book 2 (DI Giles Suspense Thriller Series),2016,Anna-marie Morgan,"Anna-marie Morgan; 1st edition (April 30, 2016)",4.4
The Blond Baboon (Grijpstra-de Gier Mysteries Series Book 6),2003,Janwillem van de Wetering,"Soho Crime (July 1, 2003)",4.3
Networking Essentials,2012,Jeffrey S. Beasley,"Pearson Certification; 3rd edition (March 1, 2012)",3.7
You Can Teach Yourself Banjo,2015,Janet Davis,"Mel Bay Publications, Inc (April 30, 2015)",4.6
Sword Art Online Progressive 3 (light novel),2017,Reki Kawahara,"Yen On (July 18, 2017)",4.8
The Berenstain Bears Ride the Thunderbolt (Step into Reading),2015,Stan Berenstain,"Random House Books for Young Readers (February 25, 2015)",4.5
Bailey's Peoria Problem (Camp Club Girls Book 6),2010,Linda Carlblom,"Barbour Books (May 1, 2010)",4.2
"MURDER, BED & BREAKFAST an absolutely gripping cozy mystery novel (Honey Driver Murder Mysteries Book 1)",2022,Jean G. Goodhind,"Joffe Books cozy crime thriller, mystery and suspense (March 23, 2022)",4.1
A to Z Mysteries: The Quicksand Question,2009,Ron Roy,"Random House Books for Young Readers; 1st edition (July 8, 2009)",4.6
The Drowning Girl,2012,Caitlin R. Kiernan,"Ace; 1st edition (March 6, 2012)",4.1
The Swan's Road: The Atheling Chronicles: #1,2017,Garth Pettersen,"Tirgearr Publishing (November 15, 2017)",4.3
Frack Off,2017,Jason Lawson,"Wolfpack Publishing (March 8, 2017)",3.4
Metal Magic: Book 1 of Metal Magic,2017,Brian Barr,"Brian Barr Books (March 9, 2017)",4.1
"Pappyland: A Story of Family, Fine Bourbon, and the Things That Last",2020,Wright Thompson,"Penguin Press (November 10, 2020)",4.6
"The Underlighters: A Post Apoc Queer, Poly Adventure (The Nightmare Cycle Book 1)",2013,Michelle Browne,"Magpie Editing; 1st edition (November 30, 2013)",3.8
The 6:41 to Paris,2015,Alison Anderson,"New Vessel Press (November 9, 2015)",3.5
Custom Slipcovers Made Easy: Weekend Projects to Dress Up Your DTcor,2007,Elizabeth Dubicki,"Krause Publications (December 18, 2007)",4.2
Sewing Techniques for the Medieval Period: A Reconstructing History Medieval Sewing Guide,2014,Kass McGann,"Reconstructing History (February 26, 2014)",4.2
Pets by Royal Appointment: The Royal Family and their Animals,2013,Brian Hoey,"The Robson Press (September 17, 2013)",3.9
The Holiday Spirit(s) of Lottawatah (Brianna Sullivan Mysteries Book 3),2010,Evelyn David,"Trace Evidence Press (November 4, 2010)",4.4
Ghostly Liaison: A Contemporary Supernatural Romance (Ghostly Encounters Book 1),2017,Stacy McKitrick,"Mythical Press; 2nd edition (September 26, 2017)",4.4
Sharky's Machine,2012,William Diehl,"AEI/Story Merchant Books (July 16, 2012)",4.2
Gerard Manley Hopkins: A Very Private Life,2011,Robert Bernard Martin,"Faber & Faber; Main edition (June 16, 2011)",4.6
The Fleur de Sel Murders: A Brittany Mystery (Brittany Mystery Series Book 3),2018,Jean-Luc Bannalec,"Minotaur Books (April 24, 2018)",4.3
"Destiny, Freedom, and the Soul: What Is the Meaning of Life? (Osho Life Essentials)",2010,Osho,"St. Martin's Griffin; 1st edition (April 10, 2010)",4.6
Argonautika: Create a prize that all men seek (Zodiac Rising Book 1),2020,Arthur Bainwright,"Etheridge Press (June 4, 2020)",4.3
Cathedral,2002,Nelson DeMille,"Grand Central Publishing (June 1, 2002)",4.2
After Midnight: Memoirs of an Obstetrician,2011,John N. Haswell M.D.,"Createspace; one edition (November 29, 2011)",3.0
The Big-Ass Book of Bling,2012,Mark Montano,"Gallery Books (November 13, 2012)",4.0
The Other Place and Other Stories of the Same Sort,2013,J. B. Priestley,"Valancourt Books (July 2, 2013)",4.0
Zombies Inside,2015,Rebecca Besser,"Besser Books; First edition (September 29, 2015)",4.2
Fortune And Glory (The Duty and Destiny Series Book 5),2015,Andrew Wareham,"The Electronic Book Company (February 22, 2015)",4.4
PRELUDE TO MURDER: A Rex Graves Mini-Mystery (Rex Graves Mystery),2015,C. S. Challinor,"Perfect Pages Literary Management, Inc. (January 27, 2015)",4.1
The Fraud: A Carter Ross Mystery (The Carter Ross Mystery Series Book 6),2015,Brad Parks,"Minotaur Books (July 7, 2015)",4.5
A Book of Bones: Private Investigator Charlie Parker hunts evil in the seventeenth book in the globally bestselling series (Charlie Parker Thriller 17),2019,John Connolly,"Hodder & Stoughton (April 18, 2019)",4.4
Lady Bridget's Diary: Keeping Up with the Cavendishes,2016,Maya Rodale,"Avon (February 23, 2016)",4.3
While Glaciers Slept: Being Human in a Time of Climate Change,2017,M Jackson,"Green Writers Press; Reprint edition (February 17, 2017)",4.4
Martian Comics #25,2022,Julian Darius,"Martian Lit (July 10, 2022)",5.0
Invisible Child,2010,Mary Hayward,"Mary Hayward; 1st edition (October 22, 2010)",4.3
100 Years of the Best American Short Stories (The Best American Series),2015,Lorrie Moore,"Houghton Mifflin Harcourt (October 6, 2015)",4.4
Gut Instinct (The Campbells of Creek Bend Book 2),2015,Barb Han,"Harlequin Intrigue; Original edition (January 1, 2015)",4.4
The Wine of Angels (Merrily Watkins Mysteries Book 1),2011,Phil Rickman,"Corvus (April 1, 2011)",4.2
"The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",2012,Michael J. Mauboussin,"Harvard Business Review Press (October 16, 2012)",4.4
One Fear: A Crime / Psychological Thriller Novella (The Game of Life Novella Series Book 1),2017,Belle Brooks,"JMA PUBLISHING PTY LTD (July 7, 2017)",4.0
The Frontline Generation: How We Served Post 9/11,2016,Marjorie K Eastman,"Longbow Six Publishing; 1st edition (August 5, 2016)",4.5
ProxyWar: Book 6 of Spies Lie series,2015,DS Kane,"The Swiftshadow Group, Inc, (December 4, 2015)",4.4
Moran and Moran: Supernatural Horror with Scary Ghosts & Haunted Houses (Death Hunter Series Book 2),2020,Ron Ripley,"Scare Street (August 31, 2020)",4.7
Through the Night,2014,Edward Martin III,"Hellbender Media (October 9, 2014)",4.2
BREAKWATER SKELETON UNKNOWN: A Cozy Mystery (A Cherrystone Creek Mystery Book 2),2020,Emma Jackson,"Smith Beach Press (June 5, 2020)",4.4
Butcher's Dozen (A Sam Arbichaut Mystery Book 2),2018,Anne Baines,"Doomed Muse Press (July 31, 2018)",4.5
From the Barrio to the Board Room: Second Edition,2011,Robert Renteria,"Writers of the Round Table Press; 2nd edition (October 11, 2011)",4.6
Christmas with the Spitfire Girls: (The Spitfire Girls Book 3),2020,Jenny Holmes,"Transworld Digital (October 15, 2020)",4.5
Escape (Fearless Book 26),2013,Francine Pascal,"Simon Pulse (February 26, 2013)",5.0
Attack of the Melonheads,2015,Gary Lee Vincent,"Burning Bulb Publishing; 1st edition (September 16, 2015)",4.0
"From Athletics to Engineering: 8 Ways to Support Diversity, Equity, and Inclusion for All",2021,Michael E. Webber,"BookBaby; 1st edition (February 10, 2021)",4.6
Penthouse Uncensored VI: Ultimate Erotica (Penthouse Adventures Book 6),2006,Magazine Editors Penthouse,"Grand Central Publishing; Reprint edition (December 18, 2006)",4.0
Killer Intent: A Zoe Ball Book Club Choice (Dempsey/Devlin Book 1),2017,Tony Kent,"Elliott & Thompson (December 14, 2017)",4.3
Warlock Holmes: A Study in Brimstone,2016,G.S. Denning,"Titan Books; Illustrated edition (May 27, 2016)",4.2
Shot,2015,Lexi Ostrow,"Colliding Worlds Press (May 4, 2015)",3.4
Goodnight from Paris: A Novel,2023,Jane Healey,"Lake Union Publishing (March 7, 2023)",4.6
A Boy in Winter: A Novel,2017,Rachel Seiffert,"Vintage (August 1, 2017)",4.0
The Hunted: Prequel Novella to Blood of a Werewolf (Blood Series Book 0),2015,T. Lynne Tolles,"Troll Publishing; 1st edition (February 3, 2015)",4.1
Decluttering and Organizing - A Guide for the Border Hoarder,2012,Shannon VanBergen,"Fairfield Publishing (July 18, 2012)",4.1
The Christian Gentleman's Smoking Companion,2013,Ted Kluck,"Gut Check Press (December 16, 2013)",4.6
Deadly Embrace: introduced by Samantha Tonge,2009,Jackie Collins,"Simon & Schuster UK; Reissue edition (May 5, 2009)",4.3
Below,2018,Joey Rodriguez,"Not Your Platypus Publishing LLC (June 14, 2018)",5.0
The Honey Well,2011,Gloria Mallette,"Gemini Press (Ebook publication) (March 11, 2011)",4.4
The Birdwatcher,2013,William McInnes,"Hachette Australia (October 29, 2013)",3.8
moon chalk,2011,David LaBounty,"Silverthought Press (December 1, 2011)",5.0
The Alice Network: A Reese's Book Club Pick,2017,Kate Quinn,"William Morrow Paperbacks (June 6, 2017)",4.6
Mistress Oriku: Stories from a Tokyo Teahouse (Tuttle Classics),2013,Royall Tyler,"Tuttle Publishing (June 11, 2013)",4.2
Dark Scion (Before the Shroud Book 1),2018,Scott Richards,"The Shroud Between (August 21, 2018)",4.3
Half Life: A Novel,2010,Roopa Farooki,"St. Martin's Press; Reprint edition (April 22, 2010)",4.0
Illumination in the Flatwoods: A Season Living Among the Wild Turkey,2011,Joe Hutto,"Vast Horizon Productions (December 18, 2011)",4.7
Where Do I Belong?: An Immigrant's Quest For Identity,2013,Mr. Tony Mankus,"CreateSpace Independent Publishing Platform (July 29, 2013)",4.6
"First Aid for the USMLE Step 1 2019, Twenty-ninth edition",2018,Vikas Bhushan,"McGraw Hill / Medical; 29th edition (December 22, 2018)",4.7
The Sin Eater (A F.R.E.A.K.S. Squad Investigation Book 5),2017,Jennifer Harlow,"Devil on the Left Books (May 23, 2017)",4.3
Captured Behind Japanese Lines: With Wingate's Chindits – Burma 1942–1945,2021,Daniel Berke,"Pen & Sword Military (December 30, 2021)",4.9
Hal Leonard Ukulele Method Book 2,2008,Lil' Rev,"Hal Leonard (September 1, 2008)",4.7
National Geographic Readers: Thomas Edison (Readers Bios),2014,Barbara Kramer,"National Geographic Kids; Illustrated edition (April 8, 2014)",4.8
A Perfect Shot,2018,Robin Yocum,"Seventh Street Books (April 17, 2018)",4.6
Sasquatch Lake,2015,Eric S. Brown,"Great Old Ones Publishing (August 2, 2015)",3.5
Rocky Bluff: A Mystery Suspense Novel (Bluff Mystery Series Book 1),2019,Kim Hornsby,"Top Ten Press (September 17, 2019)",4.2
IBS-Free Recipes for the Whole Family (The Flavor without FODMAPs Series Book 2),2015,Karen Y. Warman M.S. RD LDN,"Pond Cove Press; 1st edition (September 14, 2015)",4.1
"The Complete Book of Spells: Wiccan Spells for Healing, Protection, and Celebration",2020,Deborah Lipp,"Rockridge Press (July 7, 2020)",4.6
"Glamour, Interrupted: How I Became the Best-Dressed Patient in Hollywood",2009,Steven Cojocaru,"HarperCollins e-books (October 13, 2009)",4.3
"Indulgence in Death (In Death, Book 31)",2010,J.D. Robb,"Berkley; 1st edition (November 2, 2010)",4.7
The Spirit Clearing: A Michael Talbot Adventure,2012,Mark Tufo,"DevilDog Press LLC (August 30, 2012)",4.3
Take This Journey With Me: Poems from the Laboratory of John Turner,2012,John Turner,"Two Harbors Press (April 9, 2012)",4.8
Promises to Keep (TJ Case Series #2) (Power and Politics),1991,Davis Bunn,"Bethany House Pub (October 1, 1991)",4.7
Liquorice Shoelace: a Cloud Brothers Short Story,2016,James Field,"James Field (October 8, 2016)",4.0
The River Girls: A Mercy Harbor Thriller,2018,Melinda Woodhall,"Creative Magnolia (November 13, 2018)",4.4
Mrs. Tim of the Regiment: A Novel,2010,D. E. Stevenson,"Bloomsbury USA; 1st edition (December 1, 2010)",4.5
Ghostly Romance Anthology - Volume One,2019,Karen J Mossman,"Plaisted Publishing House Ltd; 1st edition (September 1, 2019)",3.3
ANCIENT JOURNALS: Book 4 of the Adept Chronicles,2013,Ann Brenden,"Catalina Publishing, Oro Valley, AZ USA; 3rd edition (August 2, 2013)",4.6
The Women's War: BookShots,2016,James Patterson,"BookShots Digital (October 20, 2016)",4.2
Classroom of the Elite (Light Novel) Vol. 11,2022,Syougo Kinugasa,"Airship (Seven Seas) (April 7, 2022)",4.9
Modes for Guitar (Musicians Institute: Private Lessons),2001,Tom Kolb,"Musicians Institute Press (April 1, 2001)",4.5
The Alchemist's Code: A gripping conspiracy thriller (The Parthenope Trilogy),2016,Martin Rua,"Aria; 1st edition (May 1, 2016)",3.8
The Dom with the Dragon Tattoo [Masters of Submission 5] (Siren Publishing Everlasting Classic),2013,Jan Bowles,"Siren Publishing (February 15, 2013)",4.0
Squall,2015,Sean Costello,"Red Tower Publications (January 1, 2015)",4.1
Taste of Darkness (The Siorai Legacy III),2013,Victoria M. Noxon,"The Wild Rose Press, Inc; Black Rose 1st edition (November 23, 2013)",3.8
"Illustrated Catalogue Of The Collections Obtained From The Indians Of New Mexico And Arizona In 1879 Second Annual Report of the Bureau of Ethnology to ... Office, Washington, 1883, pages 307-428",2009,James Stevenson,"Public Domain Books (October 4, 2009)",3.7
The Fundamentals of Boiler Systems: Domestic & Commercial Installations,2016,George Haynes,"Cyber Press (June 7, 2016)",4.4
The Godling: A Novel of Masalay,2011,CK Collins,"Folded Story; 1st edition (November 27, 2011)",4.3
April in the Back of Beyond,2019,P. M. Terrell,"Drake Valley Press (July 19, 2019)",4.9
Our Land Of Beyond (Linley & Patrick Edwardian Adventures Book 3),2016,Allyson Jeleyne,"Fifty Forty Productions (February 28, 2016)",4.4
Beyond Reach (Secret Life of Samantha McGregor Book 2),2009,Melody Carlson,"Multnomah (February 19, 2009)",4.4
The Dead Squirrel (The Mac Maguire Detective Mysteries Book 2),2015,Patrick C. Walsh,"Garden City Ink (October 11, 2015)",4.4
"Prepper's Dehydrator Handbook: Long-Term Food Storage Techniques for Nutritious, Delicious, Lifesaving Meals",2018,Shelle Wells,"Ulysses Press (March 20, 2018)",3.8
Unleashed (The Vampire Prophecies: Book 2): A Dark Urban Paranormal Series (The Ashar Prophecies),2018,Tamara Rokicki,"The Otherworld Publishing; 3rd edition (December 7, 2018)",4.4
WHO COLLECTS THE SOULS: Marsha & Danny Jones Thrillers - Season 2,2017,Ken Rossignol,"The Privateer Clause Publishing Co. (January 13, 2017)",4.0
"Disclaimer: The astonishing Sunday Times No.1 Bestseller, perfect for fans of Anatomy of a Scandal",2015,Renee Knight,"Transworld Digital (April 9, 2015)",3.9
Echoes of Old Souls,2013,Nika Harper,"Nika Harper; 1st edition (February 10, 2013)",4.4
Grounded (The Groom Series Book 3),2020,Sundari Venkatraman,"Flaming Sun (Indie published) (June 21, 2020)",4.2
"Reckless, Book 2 Tempted Series",2015,Selene Charles,"Selene Charles; 1st edition (May 11, 2015)",4.7
Metabolical: The truth about processed food and how it poisons people and the planet,2021,Robert H. Lustig,"Yellow Kite (May 4, 2021)",4.6
"Renew Your Mind, Transform Your Life: How To Convert Your Ideas To Income-Because An Idea Is Not A Business! (Leslie's Simple Business Foundations Book 1)",2020,Leslie Nafus,"68 Eleven Publishing (May 21, 2020)",5.0
The Light of the Ancient Buddhas - Ballads of Emptiness and Awakening,2011,Tai Sheridan,"Tai Sheridan (March 14, 2011)",4.2
No Time to Die,2014,Kira Peikoff,"Pinnacle Books (September 1, 2014)",4.0
The Trouble with Poetry,2006,Billy Collins,"Picador; Reprints edition (April 19, 2006)",4.7
A Page in Your Diary: An '80s Time Travel Adventure,2020,Keith A Pearson,"Inchgate Publishing (August 7, 2020)",4.5
Coopers Island,2013,Steve Schach,"Wandering in the Words Press (November 13, 2013)",3.4
"One Shot (Jack Reacher, Book 9)",2009,Lee Child,"Transworld Digital; 1st edition (September 15, 2009)",4.6
Faith in the Fire: Wisdom for Life,2011,Gardner C. Taylor,"Smiley Books; Har/Com edition (August 1, 2011)",4.9
Protocol for a Kidnapping (The Philip St. Ives Mysteries),2012,Oliver Bleeck,"MysteriousPress.com/Open Road (July 10, 2012)",4.0
"Blood Desert: Witnesses, 1820-1880 (Mary Burritt Christiansen Poetry)",2011,Renny Golden,"University of New Mexico Press; 1st edition (September 26, 2011)",5.0
"Letting Go Again: A Birth Mother's Tale of Adoption, Reunion, Separation and Growth",2015,Kimberly Smythe,"Inner Sight Press; 1st edition (March 27, 2015)",4.0
As I Was Saying . . .: The World According to Clarkson Volume 6,2015,Jeremy Clarkson,"Penguin; UK ed. edition (October 6, 2015)",4.5
BUZZD - The Bee Kill Conspiracy (Martha's Vineyard Eco-Thriller Book 2),2014,Michael G. West,"Sepiessa Press; 3rd edition (July 14, 2014)",3.9
The Magical World of Moss Gardening,2016,Annie Martin,"Timber Press; Illustrated edition (February 8, 2016)",4.7
The Fires of Autumn (Vintage International),2015,Sandra Smith,"Vintage (March 17, 2015)",4.0
Horizons: The Cookbook: Gourmet Meatless Cuisine,2005,Rich Landau,"Book Publishing Company (TN) (February 15, 2005)",4.3
Mind Over Murder: A Raven's Nest Bookstore Mystery,2011,Allison Kingsley,"Berkley; Original edition (September 6, 2011)",3.8
The Jewels Of Here And Now,2018,Ragini Elizabeth Michaels,"Ragini Elizabeth Michaels (April 1, 2018)",5.0
